전체순위,광역순위,기초순위,지역명_정책,지역유형,행정적_강도,집중도_지수,청년1인당_정책예산_원,전체1인당_총예산_원,재정자립도,총예산_백만원,청년정책예산_백만원,청년인구,전체인구,일자리_점수,일자리_정책수,주거_점수,주거_정책수,교육_점수,교육_정책수,복지·문화_점수,복지·문화_정책수,참여·권리_점수,참여·권리_정책수,전략적_강도,엔트로피,정규화_엔트로피,행정적_강도_정규화,전략적_강도_정규화,종합점수,지역명_정제,지역명_이동,전입,전출,순이동,순이동률_인구대비
128,12,0,대전광역시,광역자치단체,0.1631693794799669,0.0749708586404554,404099.9815059821,5390094.0823415285,0.423,7540100.2,142027.0,351465,1398881,0.4029016042537714,31,0.2986251890023018,6,0.1131821139016799,6,0.2674594700035003,15,0.4647466519325482,12,2.4256629660051825,2.0403895230388427,0.878747936911381,0.1731929320554637,0.3323187416917311,0.2527558368735975,대전광역시,대전광역시,83779,83165,614,0.1746968412307307
151,13,9,세종특별자치시,광역자치단체,0.1009147829371613,0.0607363168606896,409812.4621899577,6747403.915353328,0.5720000000000001,2503293.6,33871.0,82650,371001,0.20047890594354,20,0.442872538941105,7,0.1625100036505212,9,0.5701351259687467,20,0.2008715955154131,8,2.5118539680497505,2.170969792767523,0.9349857980304244,0.1068952397052769,0.3505528759760112,0.2287240578406441,세종특별자치시,세종특별자치시,20371,31468,-11097,-13.426334829584638
155,14,0,인천광역시,광역자치단체,0.0555992449601129,0.029959139870653,161140.8101320904,5378686.131437918,0.524,15379013.7,105170.0,652659,2859251,0.3137374887353054,27,0.6031444696933935,8,0.5,16,0.2674594700035003,15,0.1197481639215099,5,2.714194588309197,2.1131983594063968,0.910104995955488,0.0586367051981932,0.3933590384924592,0.2259978718453262,인천광역시,인천광역시,145260,135833,9427,1.4443967762694205
169,15,0,강원도,광역자치단체,0.2304372934402742,0.0658242289846374,394977.98093741934,6000495.36515805,0.254,8676740.3,108614.6,274989,1446004,0.2270964754921534,22,0.0911850511912482,2,0.2634673136260432,12,0.1273923813115582,10,0.1061386563305252,4,1.658083607633216,1.956929658423764,0.8428037296816875,0.2448295293902941,0.1699335186128902,0.2073815240015921,강원도,강원도,63739,68198,-4459,-1.6215135095821664
171,16,0,서울특별시,광역자치단체,0.0833394714255343,0.065530683678466,385345.734588982,5880386.300862137,0.754,52387838.2,893663.0,2319120,8908911,0.1510141078333686,15,0.6031444696933935,8,0.1625100036505212,9,0.165113536864122,12,0.3089944008668283,10,2.374891676733543,2.2850446335590964,0.9841151578253092,0.0881785077647629,0.3215778234473138,0.2048781656060384,서울특별시,서울특별시,540044,507713,32331,1.3941057840449034
182,17,0,경기도,광역자치단체,0.1602323687408293,0.1051390719014197,310044.1319480505,2948895.4614204075,0.605,38229645.9,919483.0,2965652,12964056,0.143573225212342,14,0.1398241634496915,4,0.1625100036505212,9,0.2259141485445041,14,0.2008715955154131,8,1.8218121541969703,2.2037861128786016,0.9491190178244984,0.1700651785203709,0.2045711052912511,0.187318141905811,경기도,경기도,607308,586987,20321,0.6852116549036587
1,0,1,충청북도 청주시,기초자치단체,0.4453699929334494,0.1711256402657595,785335.5956438774,4589233.936096571,0.305,3778912.9,155981.0,198617,823430,0.8897408115865028,8,0.9241324870649972,6,0.9232107446220688,6,0.9200174426536876,8,0.7629239408276237,4,5.4022432082836405,2.2806390622295662,0.9822177815287604,0.4737209330506783,0.9620290659501208,0.7178749995003996,충청북도 청주시,충청북도 청주시,47695,44986,2709,1.3639247198139142
2,0,2,전라북도 진안군,기초자치단체,0.4247771016692886,0.0370474660155019,1042426.8137462876,28137600.91743119,0.07,613399.7,2457.0,2357,21800,0.6879324664733812,5,0.9239399643935448,5,0.924017244627116,7,0.912908923643149,7,0.8529956028079867,5,5.293086275019217,2.301708914709748,0.9912920730740392,0.4517906460445864,0.9389363749268222,0.6953635104857043,전라북도 진안군,전라북도 진안군,393,496,-103,-4.368108566581849
3,0,3,경상남도 거창군,기초자치단체,0.4022430051534757,0.0420898430121507,696753.1653503823,16553950.204785516,0.085,921525.3,5558.0,7977,55668,0.7930692900011372,6,0.8255176774251182,2,0.9241409981457142,9,0.8962857501780289,6,0.8948517107873377,6,5.281692437844031,2.2007861666461364,0.9478270113066948,0.4277930831149552,0.9365259521200642,0.6821595176175097,경상남도 거창군,경상남도 거창군,1457,1974,-517,-6.480320882426674
5,0,5,충청북도 옥천군,기초자치단체,0.2905129139806943,0.0360711055725972,554618.511569731,15375700.377508445,0.107,696473.1,3547.34,6396,45297,0.7930692900011372,6,0.8255176774251182,2,0.9023945550547576,4,0.8596596586835148,5,0.6000745015411126,3,4.940354764875019,2.228212945841001,0.9596390821693782,0.3088067331554289,0.8643142732027878,0.5865605031791084,충청북도 옥천군,충청북도 옥천군,900,1175,-275,-4.2988901047365955
7,7,6,제주특별자치도,기초자치단체,0.1384133974630616,0.0494339227807768,626193.9892832182,12667293.10680404,0.3329999999999999,8070231.1,80635.0,128770,637092,0.9241418199787566,44,0.9241324870649972,6,0.9241418199787566,19,0.9241418199787322,21,0.924141819978755,21,5.5257702026041,2.101508472327547,0.9050704356241024,0.1468291843046446,0.988161814714407,0.5674954995095258,제주특별자치도,제주특별자치도,51334,56454,-5120,-3.9760505082666127
8,0,7,서울특별시 노원구,기초자치단체,0.1151969287532596,0.0201455740966247,53331.3309422428,2647297.648925187,0.165,1261564.4,6037.0,113198,476548,0.9241392669318614,17,0.9241415817279918,7,0.9232107446220688,6,0.9241211610747077,12,0.9229933126569622,9,5.57366671469596,2.217582150175013,0.9550606476823688,0.1221049328363718,0.9982945595777284,0.5601997462070502,서울특별시 노원구,서울특별시 노원구,19856,21174,-1318,-1.164321239586922
