전체순위,광역순위,기초순위,지역명,지역유형,행정적_강도,집중도_지수,청년예산_비율,청년인구_비율,재정자립도,총예산_백만원,청년정책예산_백만원,전략적_강도,엔트로피,정규화_엔트로피,총정책수,정책분야수,정책페널티,분야페널티,행정적_강도_정규화,전략적_강도_정규화,종합점수
11,6,0,경상남도,광역자치단체,0.26419044094238486,0.10190077887287616,0.016869411523330283,0.1655474247588952,0.337,12742649.6,214961.0,0.878127484717696,2.051135015759503,0.8833757687311176,122,5,1.0,1.0,0.27871657857475435,0.8671518605026015,0.572934219538678
12,7,0,충청남도,광역자치단체,0.2672262078009745,0.10292886787194383,0.018602137023207354,0.1807280834600328,0.336,9890664.7,183987.50000000003,0.8736683949716618,2.0241497298106257,0.8717538386600289,123,5,1.0,1.0,0.2819267730323535,0.8616913917976435,0.5718090824149985
13,8,0,부산광역시,광역자치단체,0.12777778062112352,0.06269821466129134,0.01197499113931658,0.1909941328315,0.46,16690868.3,199873.0,0.9699950962753554,2.247653781612565,0.9680117944055454,121,5,1.0,1.0,0.13446598671174495,0.9796502057884273,0.5570580962500862
14,9,0,경기도,광역자치단체,0.17997278334887196,0.11929679148734555,0.024051569883884277,0.2016112049956981,0.605,38229645.9,919483.0,0.9244150056388948,2.2037861128786016,0.9491190178244983,49,5,0.9,1.0,0.18965998423395003,0.9238341821905844,0.5567470832122672
15,10,0,강원특별자치도,광역자치단체,0.25645762563405794,0.07425537660495828,0.012517903757013449,0.1685790892100544,0.254,8676740.3,108614.6,0.8536411189045061,1.956929658423764,0.8428037296816875,50,5,1.0,1.0,0.2705394549678508,0.8371665850683061,0.5538530200180785
16,0,6,서울특별시 노원구,기초자치단체,0.13245956279517845,0.023369420367872082,0.004785328438246989,0.2047688116743274,0.165,1261564.4,6037.0,0.9562221543200893,2.217582150175013,0.9550606476823689,51,5,1.0,1.0,0.1394167724232076,0.9627842706300642,0.5511005215266359
17,11,0,서울특별시,광역자치단체,0.0921241281684092,0.07276169389468327,0.01705859662672624,0.2344447430184513,0.754,52387838.2,893663.0,0.9846721330814748,2.2850446335590964,0.9841151578253093,54,5,1.0,1.0,0.09676376423276237,0.9976232686164652,0.5471935164246138
18,12,0,제주특별자치도,광역자치단체,0.1580217141639824,0.05700681141756689,0.009991659346657371,0.1752713245697934,0.33299999999999996,8070231.1,80635.0,0.9105845183992671,2.101508472327547,0.9050704356241023,111,5,1.0,1.0,0.1664476613125367,0.9068977787881917,0.5366727200503641
19,0,7,경상북도 의성군,기초자치단체,0.35215360702888937,0.03925780687434962,0.003444253925092002,0.0877342419080068,0.09300000000000001,751396.4,2588.0,0.7374636427724586,2.1180782093497097,0.9122066329329886,11,5,0.4,1.0,0.37173388899330057,0.6948991025166802,0.5333164957549904
20,13,0,세종특별자치시,광역자치단체,0.11580588983239248,0.07022896358847967,0.013530574280220265,0.1926637328653361,0.5720000000000001,2503293.6,33871.0,0.9378199581591272,2.170969792767523,0.9349857980304244,64,5,1.0,1.0,0.12180622091048672,0.9402494884295488,0.5310278546700178
21,0,8,강원특별자치도 정선군,기초자치단체,0.348537127693928,0.051290157651085196,0.00551107368620357,0.1074489519742579,0.12300000000000001,642234.2,3539.4,0.7343587330926384,1.5726236638951638,0.9922150607220183,11,3,0.4,0.6,0.36790961576748754,0.6910969224521372,0.5295032691098124
22,14,0,대전광역시,광역자치단체,0.18225978234660845,0.08456864425902885,0.01883622183164091,0.2227329289322252,0.423,7540100.2,142027.0,0.8775019320938224,2.0403895230388427,0.878747936911381,70,5,1.0,1.0,0.1920783884952309,0.8663858273611955,0.5292321079282132
23,0,9,전라북도 부안군,기초자치단체,0.4039237035342522,0.04379669132695677,0.004899561927763057,0.1118705952279867,0.08800000000000001,848239.1,4156.0,0.6706890203259743,1.9182958340544893,0.8261650471771163,18,5,0.5,1.0,0.42647856624038566,0.6131288855169662,0.519803725878676
24,0,10,전라남도 화순군,기초자치단체,0.33090773546331753,0.056481311923672485,0.00793355748904455,0.140463406724082,0.14400000000000002,774431.9,6144.0,0.7254408738363978,2.0182155146751497,0.869198111310615,19,5,0.5,1.0,0.34926728258916206,0.6801763771934931,0.5147218298913276
