지역명,전략적_강도_엔트로피,행정적_강도_최종지수2,총_정책수,청년정책_예산_백만원,지자체_전체예산_백만원,정책_분야수,청년인구,재정자립도,A_청년정책예산비율,B_청년인구비율,집중도지수,전략적_강도_정규화,행정적_강도_정규화,종합점수,전략적강도_순위,행정적강도_순위,종합점수_순위
임실군,0.519,0.893866,5,30.88,555377.0,3,3121,0.077,5.56e-05,0.0005,0.111231,0.5235549278724907,0.5133414963610968,0.5184482121167937,107.0,3.0,11.0
전라남도,0.9044,0.210591,81,3874.48,11809873.2,5,36562,0.239,0.00032807,0.005856,0.056023,0.912337334812872,0.12092174060868927,0.5166295377107807,24.0,15.0,12.0
상주시,0.9697,0.094731,6,23.02,1485951.7,5,11319,0.086,1.549e-05,0.001813,0.008545,0.9782104307475034,0.05438081213702859,0.5162956214422659,6.0,28.0,13.0
울산광역시,0.9862,0.056802,73,885.99,5194230.3,5,36589,0.498,0.00017057,0.00586,0.029106,0.9948552405931606,0.0325973590384474,0.513726299815804,3.0,35.0,14.0
서울특별시,0.9841,0.042535,54,8936.63,52387838.2,5,32508,0.754,0.00017059,0.005207,0.032763,0.9927368102491678,0.024403509336175844,0.5085701597926718,4.0,38.0,15.0
서대문구,0.9873,0.010467,12,27.59,878984.5,5,73908,0.252,3.139e-05,0.011838,0.002652,0.995964894582871,0.00598615654635007,0.5009755255646106,2.0,65.0,16.0
군산시,0.9614,0.011909,15,23.97,1858643.9,5,42271,0.159,1.29e-05,0.00677,0.001905,0.9698375870069607,0.006814328640741012,0.48832595782385085,9.0,62.0,17.0
노원구,0.9551,0.017609,51,60.37,1261564.4,5,101929,0.165,4.785e-05,0.016325,0.002931,0.9634822959749824,0.010087963133132398,0.4867851295540574,13.0,58.0,18.0
전라남도 순천시,0.961,0.001034,11,15.57,10000000.0,5,47699,0.197,1.56e-06,0.00764,0.000204,0.9694340764652477,0.0005685786223627141,0.4850013275438052,10.0,116.0,19.0
성동구,0.9564,0.007752,27,22.19,753812.0,5,68459,0.345,2.944e-05,0.010965,0.002685,0.9647937052355493,0.0044268727486583845,0.48461028899210384,12.0,70.0,20.0
