번호,지역명,정책명,정책유형,정책소개,사업운영기간,사업신청기간,주관기관
132,경기,2024년 이천시 청년 신혼부부 주택전월세자금 대출이자 지원 사업 대상자 모집 공고,주거,청년 신혼부부의 정주여건 개선을 위한 이천시 청년 신혼부부 주택전월세자금 대출이자 지원사업 대상자 모집을 아래와 같이 공고합니다.,,"2024-11-05~2024-11-20
2024. 11. 5.(화) 09:00 ~ 11. 20.(수) 18:00",이천시청
133,경기,2024년 하반기『안성맞춤 청년주택』모집 공고,주거,"“안성맞춤 청년주택”은 LH 매입임대주택을 안성시 거주(주민등록지 기준)하는 취업·창업, 자립준비, 대학생, 예술인 청년(19세 ~ 39세)을 대상으로 시중시세의 40%~50% 수준으로 임대하는 주택 입니다.",,"2024-10-22~2024-10-25
2024. 10. 22.(화) ~ 2024. 10. 25.(금) ※ 근무시간(09:00 ~ 18:00) 접수가능, 점심시간(12:00 ~ 13:00) 접수불가",안성시청
134,경기,[2024년 미래산업 청년인재 양성사업]쿠팡 현직자가 들려주는 생생한 '빅데이터' 현장이야기!,교육,쿠팡 현직자가 들려주는 생생한 '빅데이터' 현장이야기!,,"2024-10-16~2024-10-30
2024. 10. 16. (수) ~ 10. 30. (수)",양주시청
135,경기,2024 「청년 CEO 육성」 청년이 뛴다! 창업 아카데미 참여자 모집(3일과정),교육,2024 「청년 CEO 육성」 청년이 뛴다! 창업 아카데미 참여자 모집(3일과정),,"2024-10-17~2024-11-08
24.10.17~24.11.08",양주시청
136,경기,[2024년 포천 인문 아카데미] 뇌과학자 장동선 강연 안내(11.26),교육,"""뇌는 사람이 중요하다""
""뇌는 어떻게 변화를 코딩하는가?""
""우리는 왜 말할 때 불안함을 느낄까?""
""타고난 한계를 뛰어넘는 인간을 어떻게 만들어지는가?""
""뇌 과학자가 바라보는 AI시대의 미래""
인간의 뇌에 대해 끊임없이 연구하는 뇌과학자 장동선 박사님 강연을 소개합니다!",,"2024-10-21~2024-11-25
※ 10월 21일(월)부터 선착순 신청접수(포천시민 220명)",포천시청
137,경기,[11월] 역량강화 프로그램 <주식투자 및 포트폴리오>,교육,"투자계획을 세우고 실행하여 성과를 측정하는 과정을 통해, ETF를 활용하여 제2의 월급 만드는 방법 배우기",,"2024-10-14~2024-11-06
2024.10.14. ~ 2024. 11. 6.",의정부시 청년센터
138,경기,[11월] 역량강화 프로그램 <비즈니스 영어회화>,교육,"자기소개부터 사무실에서의 대화, 간단한 회의화 PT, 고객 응대와 문제 해결 등 비즈니스 영어회화 익히기",,"2024-10-14~2024-11-04
2024.10.14. ~ 2024. 11. 4.",의정부시 청년센터
139,경기,[11월] 취창업 프로그램 <사업계획서 및 PPT>,교육,예비.초기 창업 청년들을 위한 24/25년 창업지원사업 분석과 준비방법 및 정부지원 사업계획서 작성 논리 배우기,,"2024-10-14~2024-11-03
2024.10.14. ~ 2024. 11. 3.",의정부시 청년센터
140,경기,[11월] 취창업 프로그램 <생성형 AI 활용 코칭>,교육,< 생성형 AI chat GPT 활용 자소서 작성 및 면접코칭 >,,"2024-10-14~2024-11-07
2024.10.14. ~ 2024. 11. 7.",의정부시 청년센터
141,경기,[화성시] 2024년 청년 월세 지원,주거,화성시 청년 월세 지원,,"2024-10-21~2024-11-15
2024. 10. 21.(월) 09:00 ~ 11. 15.(금) 18:00",화성시청
142,경기,취업시즌대비-해커스 윤종혁 강사와 함께하는 공공기관 NCS 필기시험 합격전략,교육,[11월 취업시즌 대비특강] 해커스 윤종혁 강사와 함께하는 공공기관 NCS 필기시험 합격전략,,"2024-10-17~2024-11-11
2024.10.17.(목)~2024.11.11.(월)",화성시 청년취업끝까지 지원센터
143,경기,2024년 제5기 수원 청년희망드림 프로그램 참여자 모집,일자리,「수원 청년 희망드림」 취업지원교육은 수원일자리센터에서 운영하는 맞춤형 취업 역량 강화 교육입니다.,,"2024-10-16~2024-10-25
2024. 10. 16.(수) ~ 2024. 10. 25.(금) 09:00~18:00 (방문 접수 시 토,일, 공휴일 제외)",수원시청
144,경기,청년 대상 인지정서행동치료 프로그램 참여자 모집,복지.문화,"부천시보건소와 부천시정신건강복지센터에서는 부천시 청년들의 취업, 학업, 대인관계 어려움 등 스트레스 완화를 위해 인지정서행동치료 프로그램 을 진행합니다. 부천시 청년들의 많은 관심과 참여 부탁드립니다.",,"2024-10-22~2024-11-01
2024. 11. 1.(금) 18:00까지(※선착순 마감)",부천시청
