번호,정책유형,정책명,정책 요약,주관기관
379,주거,주거안정월세대출,월세 부담으로 고민인 청년들에게 청년전용 주거안정 월세자금 대출,국토교통부
380,일자리,2024년도 공공기술 창업사업화 지원사업 예비창업자 모집,"공공기술을 활용하여 창업을 희망하는 청년 예비창업자 대상 사업화 자금, 창업프로그램 등 지원",로우파트너스
381,일자리,2024년도 창업중심대학 도약기 창업기업 모집,"지역과 대학발 도약기 창업기업의 우수한 창업 아이템, 비즈니스모델 사업화를 위해 정부지원 사업비와 창업중심대학별 창업지원 프로그램 등 지원",창업중심대학
382,일자리,2024년 창업성공패키지 글로벌창업사관학교 입교생 모집,초격차·신산업 관련 혁신기술 및 글로벌 창업아이템을 보유한 우수 창업자의 성공적인 글로벌 사업화 지원,중소벤처기업진흥공단
383,주거,2024년 자립준비청년(청년 유형) 전세임대,입주대상자로 선정된 자립준비청년이 거주할 주택을 물색하면 LH에서 주택소유자와 전세계약을 체결한 후 재임대하는 제도,한국토지주택공사(LH)
384,복지.문화,부모급여 지원,출산 및 양육으로 손실되는 소득 보전 및 주 양육자의 직접돌봄이 중요한 아동발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위해 부모 급여 지급,보건복지부
385,복지.문화,서민금융 활성화 지원(햇살론 youth 보증사업),"신용이력이 부족해 금융접근성이 낮은 대학생, 미취업청년등이 이용할 수 있는 저리대출 서비스 정책",금융위원회
386,복지.문화,신진예술인 창작준비금지원사업-창작 씨앗,경제적 어려움을 겪는 예술인에게 창작준비급 지원,한국예술인복지재단
387,복지.문화,도시가스 절약 캐시백,동절기(12~3월) 도시가스 사용량 감축을 위해 운영하는 제도로 전년도 사용량보다 3% 이상 절약하면 절감량에 따라 현금으로 돌려주는 제도,산업통산자원부
388,일자리,2024 청춘만발 참여 예술인 모집,전통공연예술의 미래를 열어나갈 청년 예술인의 활동기회 마련 및 창작 독려를 위한 전통공연예술 창작 인큐베이팅 사업,국립정동극장
389,교육,SW마에스트로 과정(전문가 멘토링을 통한 최고급 SW인재 양성),디지털 대전환 시대의 핵심인 소프트웨어(SW) 산업을 이끌어갈 고급 인재를 육성,과학기술정보통신부
390,일자리,2024년 제1기 행정안전부 청년인턴 채용 공고,2024년 제1기 행정안전부 청년인턴 채용,행정안전부
391,복지.문화,청년희망적금 만기자 청년도약계좌 일시납입 지원,2~3월 중 청년희망적금 만기 시 청년도약계좌를 바로 개설,서민금융진흥원
392,일자리,2024년 청년예술인 대관지원사업,이천시 청년에술인들의 문화예술 활성화를 위한 아트홀 대관지원,이천문화재단
393,일자리,2024년 국가유산 산업 인턴 지원 사업 인턴 공개모집,국가유산 산업 기관(기업)을 대상으로 인턴 모집,한국문화재재단
394,일자리,2024년 제1기 행정안전부 청년인턴 채용 공고,2024년 제1기 행정안전부 청년인턴 채용,행정안전부
395,일자리,2024년 생애최초 청년창업 지원사업 예비창업자 모집 공고(수정),생애최초로 창업에 도전하는 만 29세 이하 청년 예비창업자들의 창업 성공률 제고를 위해 자금·교육·멘토링 등을 지원,-
396,일자리,2024년 창업성공패키지 청년창업사관학교 14기 입교생 모집 공고,유망 창업아이템 및 혁신기술을 보유한 우수 창업자를 발굴하여 성공적인 창업사업화 지원,중소벤처기업부
397,일자리,2024년 청년CEO육성사업 청년창업가 모집 공고,창의적인 아이디어를 가진 청년들을 대상으로 창업을 지원하는 「2024년 청년CEO 육성사업」을 시행하기 위하여 청년창업가 모집,울산광역시청
398,일자리,2024년 농식품 벤처육성 지원사업(창업기업) 모집 공고,농산업·식품 분야 첨단 기술기반 벤처·창업기업 지원,-
399,복지.문화,근로자 휴가비 지원사업,근로자 휴가지원사업은 정부와 기업이 함께 근로자의 국내 여행경비를 지원하는 사업,문화체육관광부
400,일자리,청년일자리도약장려금 사업(2024)(지원대상 : 사업주),"5인 이상 우선지원대상기업에서 청년을 정규직으로 채용하고 6개월 이상 고용 유지할 경우 최장 2년 간 최대 1,200만원 지원",고용노동부
401,일자리,청년 국가기술자격시험 응시료 지원사업,청년의 구직활동과 경력개발의 경제적 부담을 완화하기 위한 사업,고용노동부
402,일자리,청년전용창업자금(창업기반 지원),기술과 아이디어가 있지만 자금을 마련할 담보가 부족한 청년 창업기업을 위해 장기·저리로 정책 자금 지원,중소벤처기업진흥공단
403,일자리,청년창업 중소기업 세액 감면,창업 후(벤처기업 확인 후) 법인세(소득세)를 일정기간동안 일정비율 감면해 주는 제도,기획재정부
404,일자리,2024년도 재도전성공패키지 (예비)재창업자 모집 공고,"사업 경험과 우수한 아이템을 바탕으로 성장 가능성이 높은 (예비)재창업자를 발굴하고,패키지형 재창업 지원",중소벤처기업부
405,일자리,24년 3D프린팅 전문기술 활용지원 사업,"3D-FAB은 과학기술정보통신부 소관의 정보통신산업진흥원에서 예비창업자, 스타트업, 중소기업을 위해 준비한 3D프린팅 기술 복합지원 공간입니다.마포 3D-FAB에서는 예비창업자, 스타트업, 중소기업을 대상으로 3D프린팅 전문기술을 통하여 시제품 제작의 전 주기(3D모델링-3D프린팅-후가공)를 지원해 드립니다.시제품 제작 기술지원을 다음과 같이 공고하오니 참여를 희망하는 분들은 안내에 따라 신청하여 주시기 바랍니다.",과학기술정보통신부
406,일자리,24년 청년식품 창업 패키지(초기창업) 참여기업 모집 공고,"식품분야 혁신창업자를 발굴하고 시제품제작, 사업화 지원",농림축산식품부
407,복지.문화,2024년 첫만남 이용권,출생 아동에게 200만원 이상의 첫만남이용권을 지급하여 생애초기 아동양육에 따른 경제적 부담 경감,보건복지부
408,복지.문화,문화누리카드,"문화누리카드는 삶의 질 향상과 문화격차 완화를 위해 기초생활수급자, 차상위계층을 대상으로 문화예술, 국내여행, 체육활동을 지원하는 카드",□
409,교육,2024년도 한미 첨단분야 청년교류 지원사업,"국 첨단산업 분야의 기술·경험 습득 기회를 제공하고, 글로벌 인재 육성을 위해 美 대학에 교환학생 파견 예정인 이공계 청년인재 모집",산업통상자원부
410,주거,청년월세 특별지원,"19세~34세 청년 대상 월 최대 20만원까지, 12개월 간 월세 지원",국토교통부
411,주거,2024년 청년 전세임대 1순위 입주자 수시모집,"입주대상자로 선정된 청년(19~39세, 대학생, 취업준비생)이 거주할 주택을 물색하면 LH에서 주택소유자와 전세계약을 체결한 후 재임대하는 제도",국토교통부
412,일자리,글로벌 콘텐츠 인재들의 부트캠프 GCC사관학교 교육생 모집,광주광역시에서 진행되는 전국 청년 참여 가능한 글로벌 콘텐츠 인재 양성 교육,"문화체육관광부,"
413,일자리,2024년 맞춤형농지지원 선임대후매도사업,청년농이 희망하여 직접 확보한 농지를 공사가 매입 후 청년농에게 매도를 목적으로 조건부 임차하며 청년농이 원리금 상환 후 소유권을 청년농에게 이전하여 영농기반 마련 및 안정적 정착 지원,농림축산식품부
414,복지.문화,여행가는 달,"대한민국 구석구석 국내여행을 통한 지역관광 활성화를 위해 문화체육관광부, 한국관광공사와 전국의 지자체, 관광업계가 함께 추진하는 캠페인으로, 다양한 할인혜택과 여행 프로그램 및 이벤트 제공",문화체육관광부
